ed,cuomo,molinaro,votes18,voters18,pct_dem_rvs18,pct_rep_rvs18
41047,398,6,412,827.0,84.2,2.9
41048,237,5,245,458.0,83.6,2.4
41049,503,7,523,1043.0,85.5,2.5
41050,139,242,394,927.0,57.2,25.1
41051,74,61,136,292.0,65.8,16.4
41052,103,69,180,544.0,64.0,18.8
41053,217,35,261,603.0,75.1,8.3
41054,361,9,378,915.0,80.3,2.3
41055,451,12,474,852.0,84.4,2.9
41056,109,119,231,450.0,48.7,33.3
41057,113,100,225,631.0,55.5,18.5
41058,89,213,318,834.0,51.4,28.2
41059,155,199,370,955.0,51.5,23.0
41060,222,72,306,665.0,58.8,16.7
41061,137,95,243,801.0,49.6,17.4
41062,194,124,330,991.0,56.7,13.3
41063,297,147,464,926.0,60.0,15.4
41064,259,130,401,821.0,59.9,17.7
41065,103,35,139,357.0,56.6,10.6
41066,249,25,286,867.0,76.5,5.7
41067,237,19,263,853.0,79.7,4.9
41068,239,25,275,792.0,77.3,6.8
41069,271,17,293,911.0,75.1,5.8
41070,173,155,344,937.0,44.7,21.6
41071,141,153,315,949.0,42.7,21.1
41072,151,157,316,770.0,49.1,23.2
41073,267,130,411,1041.0,59.2,15.2
41074,224,163,407,1019.0,51.4,23.7
41075,226,85,322,1082.0,51.5,12.8
41076,170,98,280,925.0,50.4,17.5
41077,183,163,358,1033.0,49.6,18.0
41078,150,105,275,796.0,47.6,18.8
41079,181,111,304,1016.0,47.0,17.6
41080,29,20,53,149.0,51.0,19.5
41081,114,79,207,601.0,46.4,18.0
41082,122,175,317,902.0,40.1,25.4
41083,103,82,193,641.0,47.6,19.3
41084,214,229,469,1055.0,43.8,25.7
41085,179,69,262,593.0,55.6,19.4
41086,179,170,370,887.0,43.6,24.5
41087,137,113,273,712.0,45.6,22.8
41088,106,181,305,863.0,34.9,30.1
41089,126,72,208,619.0,49.3,18.9
41090,64,34,103,396.0,60.6,18.7
41091,173,31,213,524.0,70.6,10.5
41092,91,71,172,575.0,45.0,24.5
41094,89,130,235,695.0,47.2,22.7
41095,122,139,271,591.0,52.3,24.2
41096,347,20,372,732.0,84.3,2.9
41097,390,10,414,810.0,83.1,2.5
41098,256,25,284,761.0,73.3,6.7
42001,40,2,44,95.0,68.4,5.3
42002,369,7,401,812.0,79.9,2.8
42003,394,14,450,823.0,81.5,2.8
42004,426,9,457,986.0,79.0,2.9
42005,327,12,369,679.0,77.6,4.9
42006,479,13,534,1036.0,79.1,3.2
42007,465,17,519,1077.0,79.8,3.1
42008,475,10,509,1086.0,84.0,2.9
42009,442,7,475,1110.0,77.8,3.2
42010,482,7,504,999.0,82.5,2.4
42011,447,6,465,1075.0,83.9,2.4
42012,392,5,406,967.0,82.0,2.1
42013,423,12,455,1073.0,81.1,3.8
42014,379,8,408,1022.0,81.8,2.3
42015,454,3,477,998.0,80.9,2.0
42016,366,3,388,869.0,79.2,3.0
42017,282,4,299,673.0,79.9,3.1
42018,468,13,512,1034.0,80.3,3.0
42019,346,9,380,775.0,83.1,1.9
42020,391,10,426,925.0,83.6,2.3
42021,442,15,490,1040.0,79.5,2.5
42022,517,7,549,1190.0,81.4,2.4
42023,263,8,291,618.0,75.2,3.9
42024,367,23,417,1001.0,71.9,5.2
42025,413,7,459,753.0,80.6,3.5
42026,363,6,397,879.0,80.7,2.5
42027,358,3,382,1058.0,78.9,2.3
42028,414,3,441,1023.0,81.2,2.4
42029,410,6,433,1013.0,84.9,1.7
42030,471,6,504,913.0,83.4,2.6
42031,357,12,393,918.0,81.3,2.8
42032,117,4,124,276.0,80.8,3.3
42033,23,0,25,44.0,77.3,4.5
42034,270,20,337,584.0,78.4,6.0
42035,461,34,533,976.0,77.6,4.3
42036,296,128,464,887.0,70.0,13.3
42037,197,14,229,362.0,77.3,6.1
42038,82,222,316,756.0,53.6,31.0
42039,460,6,489,916.0,82.8,1.0
42040,535,6,561,1114.0,84.3,2.1
42041,503,11,532,1057.0,83.9,2.5
42042,493,8,515,1089.0,81.5,3.1
42043,398,9,424,985.0,80.3,2.7
42044,343,10,363,933.0,80.0,3.5
42045,412,8,434,1037.0,82.7,3.3
42046,401,7,423,988.0,81.2,2.3
42047,439,4,451,954.0,81.2,1.5
42048,464,14,505,1024.0,79.5,3.4
42049,460,23,499,981.0,79.9,4.3
42050,391,7,414,976.0,81.4,2.5
42051,293,44,350,781.0,75.2,6.4
42052,470,31,513,1044.0,79.8,5.7
42053,442,15,481,1049.0,81.3,3.7
42054,456,11,499,1009.0,82.4,2.2
42055,394,13,435,949.0,80.0,3.2
42056,472,9,494,1071.0,81.4,2.6
42057,472,14,495,919.0,82.6,1.6
42058,380,7,398,944.0,82.2,1.5
42059,41,98,144,377.0,60.7,23.6
42060,18,48,72,190.0,47.4,25.8
42061,225,102,358,999.0,60.2,15.1
42062,69,206,292,1014.0,54.5,24.8
42063,156,195,361,903.0,62.3,17.9
42064,86,268,366,931.0,64.2,22.8
42065,62,175,248,642.0,61.7,21.0
42066,55,159,229,570.0,57.7,28.1
42067,155,99,269,805.0,56.5,15.2
42068,312,3,335,816.0,81.4,2.0
42069,35,49,88,220.0,51.8,25.9
42070,416,10,454,1071.0,81.3,2.8
42071,385,9,412,964.0,82.1,2.6
42072,466,19,520,1061.0,79.0,3.4
42073,509,11,558,1081.0,83.1,2.4
42074,373,5,396,996.0,83.2,2.3
42075,485,16,556,995.0,75.5,4.0
42076,257,2,279,578.0,80.3,4.7
42077,416,6,449,1076.0,80.0,3.3
42078,370,16,406,799.0,79.0,3.0
42079,445,6,479,1144.0,81.7,2.7
42080,402,3,414,989.0,83.2,3.0
42081,363,12,391,930.0,76.3,3.4
42082,176,21,206,412.0,77.7,7.3
43001,553,10,627,1069.0,78.9,2.7
43002,363,7,399,692.0,82.5,2.0
43003,503,6,549,1061.0,80.0,2.4
43004,485,9,525,1078.0,78.8,2.9
43005,371,5,410,760.0,79.5,2.0
43006,504,6,550,1071.0,81.8,1.9
43007,439,6,487,972.0,80.1,2.5
43008,378,12,414,847.0,78.4,2.5
43009,321,8,354,646.0,80.2,1.9
43010,229,5,241,457.0,83.8,3.5
43011,365,54,448,1038.0,75.8,8.6
43012,478,6,517,958.0,83.8,2.9
43013,251,113,380,964.0,64.0,17.4
43014,545,6,584,1093.0,81.2,1.9
43015,336,19,393,832.0,82.8,4.0
43016,350,9,393,781.0,81.6,4.2
43017,472,17,509,914.0,78.8,5.7
43018,547,11,600,1088.0,82.4,1.8
43019,398,6,431,781.0,82.7,1.9
43020,461,12,506,884.0,82.6,2.5
43021,541,10,583,1050.0,83.0,3.0
43022,408,9,447,895.0,80.2,3.9
43023,477,9,506,913.0,82.0,2.8
43024,476,3,516,986.0,80.6,2.1
43025,409,7,441,805.0,83.0,1.9
43026,542,14,579,1148.0,81.5,3.4
43027,561,12,604,1249.0,82.8,2.2
43028,632,7,658,1220.0,82.6,2.3
43029,344,6,358,951.0,78.5,3.7
43030,491,9,519,1083.0,80.1,3.6
43031,653,8,686,1255.0,82.2,2.1
43032,411,4,440,1015.0,83.3,2.2
43033,645,14,684,1307.0,81.2,2.5
43034,267,4,281,533.0,80.3,4.1
43035,487,6,528,959.0,82.6,2.5
43036,455,15,507,979.0,82.0,2.7
43037,498,9,548,1052.0,82.6,3.2
43038,498,44,585,1042.0,79.1,5.4
43039,482,34,567,1072.0,78.5,5.6
43040,169,86,273,675.0,67.4,13.2
43041,495,7,548,958.0,78.6,1.4
43042,426,11,486,848.0,80.1,2.9
43043,421,36,480,938.0,76.8,7.4
43044,407,7,452,839.0,81.9,2.4
43045,530,8,596,1127.0,83.8,1.7
43046,502,12,551,1055.0,83.8,2.1
43047,310,5,345,674.0,83.1,1.0
43048,272,6,289,640.0,86.9,2.0
43049,445,8,476,872.0,86.1,2.4
43050,481,14,540,996.0,82.3,2.1
43051,518,19,561,935.0,85.6,3.1
43052,451,19,491,1005.0,84.7,2.9
43053,422,41,477,1139.0,78.6,5.7
43054,455,23,494,962.0,79.7,5.4
43055,434,39,508,1021.0,73.8,7.7
43056,256,25,288,710.0,80.4,6.9
43057,110,73,194,846.0,70.1,14.4
43058,263,44,318,767.0,72.8,9.8
43059,286,101,403,1064.0,69.7,12.5
43060,216,73,306,824.0,66.0,16.4
43061,379,14,410,902.0,81.2,4.9
43062,236,126,379,1064.0,65.9,16.7
43063,180,70,271,857.0,65.6,14.0
43064,325,34,374,932.0,74.5,8.2
43065,345,22,374,884.0,80.2,4.3
43066,530,10,558,1167.0,84.2,3.1
43067,485,15,506,1043.0,86.1,2.9
43068,350,25,381,892.0,78.8,7.2
43069,330,7,343,777.0,83.5,1.8
43070,50,4,59,609.0,71.6,9.0
43071,392,5,408,793.0,83.1,1.4
43072,377,4,408,709.0,80.5,2.3
43073,521,4,574,963.0,84.8,1.0
43074,395,3,434,1046.0,78.2,1.9
43075,525,10,581,963.0,83.6,2.2
43076,297,70,393,1056.0,73.4,10.6
43077,203,47,267,535.0,75.5,6.5
43078,361,10,389,821.0,83.3,2.6
43079,198,7,209,459.0,81.9,3.3
43080,338,9,373,762.0,81.8,2.5
43081,295,5,324,730.0,79.5,3.0
43082,472,12,512,880.0,80.9,1.4
43083,285,4,306,541.0,81.7,2.6
43084,123,88,220,803.0,65.9,15.8
43085,190,111,313,834.0,71.0,15.2
43086,210,3,247,424.0,78.1,0.9
43087,472,7,526,917.0,81.6,2.0
44001,208,149,385,895.0,63.6,15.6
44002,74,112,212,533.0,67.0,15.9
44003,141,169,331,989.0,63.9,16.1
44004,141,112,272,840.0,65.6,12.7
44005,147,72,236,730.0,58.6,14.2
44006,295,95,428,1055.0,62.7,11.5
44007,296,45,370,726.0,71.8,7.4
44008,229,47,299,619.0,66.1,9.0
44009,414,39,499,1108.0,69.9,7.0
44010,378,30,428,939.0,72.5,6.9
44011,121,31,159,527.0,61.3,10.2
44012,80,7,104,159.0,75.5,3.8
44013,98,95,211,649.0,63.0,19.0
44014,332,41,401,940.0,66.5,7.9
44015,369,81,485,883.0,62.7,9.9
44016,280,39,341,821.0,64.4,10.5
44017,264,63,350,745.0,68.5,10.5
44018,362,58,468,901.0,65.8,9.4
44019,332,115,472,1103.0,68.1,11.4
44020,272,56,344,895.0,68.6,9.4
44021,10,32,57,110.0,73.6,10.9
44022,6,6,15,37.0,56.8,18.9
44023,161,136,313,783.0,60.5,14.8
44024,162,99,278,677.0,61.3,13.7
44025,230,208,471,1022.0,57.6,18.9
44026,244,183,452,1097.0,55.7,21.5
44027,201,164,401,1071.0,56.4,16.3
44028,216,48,288,811.0,64.6,9.0
44029,226,80,329,933.0,59.1,12.6
44030,230,82,330,898.0,57.6,13.5
44031,309,38,449,1030.0,72.3,5.5
44032,62,7,75,160.0,81.2,6.9
44033,442,37,525,1073.0,70.7,5.4
44034,267,11,302,735.0,69.4,5.2
44035,393,34,466,948.0,71.4,8.0
44036,416,16,474,759.0,76.9,3.8
44037,243,17,274,596.0,65.1,5.9
44038,427,23,499,796.0,81.2,4.0
44039,272,18,317,710.0,74.1,5.4
44040,73,4,81,215.0,74.0,7.0
44041,67,47,121,337.0,59.3,15.7
44042,286,90,407,1025.0,58.3,14.0
44043,281,104,427,957.0,61.8,15.4
44044,181,50,261,592.0,62.5,12.2
44045,290,52,370,863.0,61.6,12.4
44046,228,9,260,452.0,76.3,3.8
44047,87,13,110,223.0,73.5,9.0
44048,286,21,331,593.0,77.9,5.9
44049,370,32,433,772.0,71.9,5.3
44050,474,26,544,913.0,73.1,5.7
44051,537,52,655,1033.0,72.2,7.2
44052,608,81,764,1102.0,73.9,6.0
44053,487,102,643,1000.0,65.7,12.1
44054,455,42,562,927.0,72.6,6.7
44055,467,57,587,871.0,70.8,8.4
44056,424,71,548,805.0,66.2,11.3
44057,562,76,708,1015.0,74.2,8.6
44058,486,80,614,982.0,70.9,10.6
44059,545,74,674,1019.0,74.2,8.3
44060,446,44,529,875.0,73.6,7.7
44061,295,28,358,545.0,76.3,5.0
44062,359,35,434,697.0,73.6,6.0
44063,413,22,480,789.0,75.9,4.8
44064,189,12,221,368.0,78.3,6.0
44065,452,26,530,940.0,75.2,5.1
44066,425,35,510,866.0,75.4,7.2
44067,135,158,313,860.0,57.2,18.4
44068,504,43,616,937.0,75.8,5.7
44069,341,26,416,618.0,73.1,6.5
44070,396,40,484,655.0,72.7,5.8
44071,435,28,525,831.0,74.7,6.0
44072,472,28,563,921.0,76.4,4.0
44073,566,32,675,1003.0,76.2,5.0
44074,524,31,612,883.0,78.1,4.2
44075,455,36,555,916.0,74.7,6.6
44076,508,32,627,966.0,75.5,4.7
44077,483,30,588,888.0,75.9,5.5
44078,582,29,688,1075.0,78.7,4.3
44079,468,49,580,926.0,71.3,6.6
44080,372,26,442,697.0,76.6,5.2
44081,217,110,340,989.0,62.2,16.9
44082,306,30,381,726.0,67.5,8.0
44083,451,52,571,976.0,71.7,9.0
44084,264,22,310,539.0,74.4,6.7
44085,91,89,191,597.0,66.2,16.4
44086,251,26,308,608.0,66.8,7.2
44087,307,62,400,1057.0,60.3,11.1
44088,274,54,365,651.0,73.0,10.1
44089,286,38,354,663.0,69.2,9.2
44090,273,11,298,460.0,82.4,3.7
44092,1,0,1,1.0,100.0,0.0
45001,172,203,406,1066.0,55.0,21.1
45002,180,230,432,1107.0,54.6,19.7
45003,145,220,383,1002.0,56.8,16.7
45004,182,163,370,1006.0,51.4,21.9
45005,138,236,399,999.0,53.2,22.3
45006,129,251,394,1118.0,52.3,23.3
45007,18,13,35,83.0,45.8,21.7
45008,123,135,273,778.0,52.2,22.6
45009,93,217,336,929.0,50.8,22.3
45010,49,90,149,401.0,52.4,27.4
45011,180,120,326,1014.0,49.5,17.2
45012,146,76,238,791.0,50.9,14.3
45013,161,153,341,1034.0,48.2,19.2
45014,129,125,265,829.0,45.7,20.7
45015,19,72,101,251.0,58.6,27.5
45016,129,211,359,1037.0,53.3,22.8
45017,89,137,242,707.0,47.0,26.4
45018,17,16,34,130.0,43.8,16.9
45019,107,191,325,820.0,51.8,22.8
45020,80,204,307,724.0,50.3,30.5
45021,94,156,276,789.0,43.3,33.1
45022,97,141,253,899.0,42.8,24.8
45023,133,125,275,766.0,42.7,19.7
45024,135,94,245,764.0,52.7,16.9
45025,73,23,106,335.0,52.5,13.1
45026,160,75,255,836.0,52.3,11.2
45027,195,86,296,983.0,46.8,16.3
45028,164,69,247,634.0,56.6,10.9
45029,81,98,187,514.0,47.1,19.1
45030,188,122,331,946.0,48.8,16.2
45031,129,173,334,949.0,41.7,27.2
45032,78,141,229,689.0,44.1,31.6
45033,175,122,314,845.0,49.9,18.8
45034,165,69,260,779.0,49.6,13.4
45035,130,160,305,913.0,41.7,27.1
45036,89,104,203,545.0,42.6,31.2
45037,107,137,263,764.0,39.0,27.0
45038,160,111,280,747.0,44.4,20.9
45039,17,15,34,90.0,37.8,25.6
45040,157,159,335,904.0,48.6,23.9
45041,74,66,146,334.0,42.2,24.0
45042,150,132,293,764.0,44.8,24.5
45043,192,178,390,973.0,47.5,21.1
45044,189,68,276,942.0,54.0,12.5
45045,262,31,302,831.0,74.6,5.9
45046,292,17,324,979.0,76.4,4.0
45047,31,13,46,131.0,41.2,12.2
45048,119,139,272,607.0,43.3,19.4
45049,40,47,89,227.0,41.0,21.1
45050,178,148,342,999.0,48.8,20.6
45051,125,93,233,669.0,43.8,16.9
45052,26,38,69,174.0,46.6,25.3
45053,107,122,245,639.0,40.8,27.2
45054,104,100,217,522.0,46.7,21.6
45055,15,6,23,67.0,65.7,13.4
45056,120,66,196,600.0,50.7,14.7
45057,158,149,323,893.0,42.2,22.8
45058,166,119,298,776.0,43.8,21.4
45059,159,94,262,811.0,46.0,22.9
45060,230,53,299,1039.0,56.7,12.3
45061,105,17,125,418.0,62.2,9.8
45062,206,72,289,1058.0,50.6,17.6
45063,128,31,175,597.0,61.0,10.1
45064,90,170,269,906.0,45.3,25.4
45065,109,85,205,800.0,45.4,23.2
45066,156,236,413,1131.0,44.8,27.5
45067,70,170,253,778.0,41.9,30.6
45068,118,194,323,759.0,38.3,36.9
45069,114,196,333,730.0,44.5,29.2
45070,132,209,359,716.0,36.0,34.9
45071,90,141,247,588.0,40.1,28.7
45072,80,117,205,502.0,45.2,31.9
45073,88,141,243,920.0,51.8,22.6
45074,93,305,418,1038.0,22.2,44.6
45075,149,256,419,1045.0,32.5,37.4
45076,59,139,221,595.0,42.0,34.3
45077,128,106,242,592.0,48.0,19.6
45078,134,123,267,799.0,54.2,18.3
46001,129,180,327,881.0,44.0,27.6
46002,160,117,293,791.0,54.7,20.7
46003,114,122,259,921.0,55.4,22.0
46004,317,29,358,892.0,70.7,7.6
46005,293,25,333,1017.0,74.4,5.6
46006,212,14,235,777.0,78.2,4.5
46007,215,51,285,795.0,72.5,10.8
46008,294,64,373,1063.0,73.8,9.5
46009,227,30,266,781.0,70.3,7.2
46010,280,23,318,847.0,79.7,4.8
46011,183,103,294,812.0,72.8,15.1
46012,311,17,332,961.0,77.0,4.3
46013,219,15,242,765.0,77.4,5.0
46014,261,27,298,931.0,74.7,5.2
46015,223,30,260,906.0,72.5,7.3
46016,239,34,291,955.0,60.8,8.8
46017,80,184,278,803.0,41.3,31.8
46018,65,184,262,787.0,37.1,37.1
46019,157,241,421,1058.0,41.1,31.2
46020,116,138,265,861.0,44.6,29.8
46021,132,234,381,732.0,39.1,34.7
46022,103,222,337,697.0,42.6,33.9
46023,109,190,317,618.0,41.9,33.8
46024,133,187,338,702.0,42.0,34.9
46025,143,201,360,718.0,50.0,29.9
46026,144,188,354,844.0,48.9,26.1
46027,124,198,337,655.0,44.9,34.0
46028,133,180,328,668.0,44.8,32.2
46029,118,199,333,669.0,43.9,33.2
46030,108,217,344,733.0,43.0,32.1
46031,429,122,591,1104.0,54.3,15.5
46032,198,37,240,629.0,69.2,8.3
46033,277,37,325,959.0,72.5,6.0
46034,261,94,387,904.0,55.4,14.8
46035,114,78,211,518.0,53.5,13.7
46036,172,209,403,859.0,42.5,30.7
46037,1,1,2,8.0,37.5,12.5
46038,168,112,304,861.0,48.9,20.7
46039,129,82,217,673.0,51.6,14.9
46040,63,41,112,346.0,53.8,12.1
46041,405,213,646,1080.0,47.0,23.9
46042,196,147,358,942.0,44.2,23.2
46043,98,127,244,911.0,41.7,23.9
46044,97,155,274,838.0,40.3,30.9
46045,125,115,253,1031.0,50.8,19.6
46046,69,165,267,955.0,42.9,29.1
46047,219,252,483,1035.0,44.7,28.7
46048,313,125,468,1031.0,54.4,17.3
46049,361,155,561,1018.0,54.1,18.9
46050,306,225,572,995.0,47.7,25.4
46051,285,301,610,1048.0,38.1,36.0
46052,190,170,413,691.0,50.4,23.0
46053,391,142,567,1039.0,54.4,20.2
46054,304,134,470,1015.0,50.8,19.2
46055,324,129,495,1089.0,56.6,14.8
46056,402,131,566,1071.0,55.5,15.2
46057,260,159,451,818.0,49.0,22.5
46058,374,158,569,1087.0,50.7,17.7
46059,373,145,552,1114.0,55.8,14.6
46060,362,205,588,1015.0,50.1,25.5
46061,208,105,336,662.0,50.8,21.9
46062,334,168,539,901.0,53.6,22.0
46063,381,177,583,1063.0,51.7,19.4
46064,363,216,622,1133.0,45.9,23.7
46065,377,188,593,1093.0,50.5,20.2
46066,251,181,450,1047.0,47.3,20.0
46067,209,236,465,944.0,39.8,31.9
46068,230,255,506,1006.0,41.6,31.9
46069,266,219,501,1013.0,43.7,30.8
46070,145,247,402,912.0,39.9,35.1
46071,207,209,444,1038.0,44.6,27.6
46072,306,186,521,1060.0,48.7,22.5
46073,126,65,205,728.0,44.9,24.3
46074,60,31,97,217.0,44.2,24.9
46075,353,213,623,998.0,47.8,24.6
46076,230,124,377,586.0,44.2,26.3
46077,174,164,353,929.0,46.2,22.2
46078,305,234,575,1004.0,42.5,28.6
46079,176,332,524,981.0,36.9,42.6
46080,267,28,303,974.0,74.6,5.3
46081,36,95,140,378.0,39.9,33.3
46082,1,0,1,1.0,100.0,0.0
47001,182,133,323,813.0,46.7,19.8
47002,175,110,295,908.0,48.0,17.8
47003,129,77,215,629.0,50.1,14.8
47004,19,10,31,79.0,54.4,13.9
47005,205,131,356,906.0,50.8,19.2
47006,254,120,394,992.0,51.2,12.9
47007,205,112,343,896.0,49.9,16.6
47008,207,160,388,929.0,47.9,17.5
47009,204,182,408,948.0,50.0,18.4
47010,27,22,56,172.0,50.6,12.2
47011,167,118,303,812.0,52.7,15.6
47012,193,107,318,974.0,49.8,14.8
47013,199,115,338,1000.0,53.4,14.8
47014,232,155,407,1022.0,49.1,15.3
47015,247,101,369,1107.0,59.0,10.8
47016,154,86,255,836.0,48.7,15.3
47017,195,104,315,981.0,51.4,15.0
47018,149,168,344,998.0,54.1,17.8
47019,44,30,76,238.0,52.5,16.0
47020,164,121,309,994.0,53.3,15.1
47021,182,99,308,960.0,53.3,15.9
47022,117,81,214,792.0,52.9,13.4
47023,197,84,301,1048.0,57.9,13.9
47024,159,84,252,876.0,58.4,11.0
47025,182,79,279,976.0,53.5,15.5
47026,166,126,306,934.0,48.5,17.3
47027,229,130,380,1079.0,50.4,14.7
47028,179,81,276,987.0,54.4,12.3
47029,181,180,384,1002.0,54.1,17.8
47030,98,71,180,578.0,53.1,14.7
47031,211,92,317,1137.0,54.6,12.8
47032,56,23,85,218.0,57.8,12.4
47033,70,50,124,400.0,55.5,11.2
47034,101,60,169,585.0,49.4,18.3
47035,2,7,9,18.0,55.6,22.2
47036,134,81,230,693.0,52.1,17.5
47037,107,64,178,675.0,48.3,16.3
47038,63,31,100,239.0,44.8,18.8
47039,65,69,138,415.0,47.2,20.5
47040,85,62,157,483.0,47.8,18.2
47041,198,116,332,866.0,62.0,11.8
47042,57,52,110,326.0,49.1,19.6
47043,202,103,332,1075.0,56.5,13.1
47044,186,94,293,977.0,51.2,12.4
47045,232,104,353,1025.0,54.4,13.3
47046,166,97,277,821.0,50.3,20.0
47047,194,118,334,849.0,51.5,17.9
47048,140,175,338,802.0,54.0,23.3
47049,160,141,320,889.0,47.9,21.1
47050,208,88,319,978.0,52.6,12.8
47051,187,98,304,951.0,51.2,15.9
47052,104,78,192,532.0,55.8,14.3
47053,207,22,244,754.0,76.0,3.2
47054,236,6,252,673.0,77.7,4.2
47055,230,124,381,993.0,52.5,15.8
47056,177,99,285,636.0,52.2,18.7
47057,193,167,381,712.0,55.3,22.3
47058,94,127,229,484.0,56.0,23.8
47059,174,141,333,785.0,53.4,23.3
47060,69,28,99,332.0,59.3,19.0
47061,176,72,274,910.0,54.4,15.1
47062,186,114,329,1021.0,50.4,14.5
47063,158,89,274,846.0,48.5,16.4
47064,176,113,315,957.0,55.0,12.5
47065,166,114,308,806.0,51.5,15.4
47066,88,59,152,396.0,53.5,16.9
47067,131,71,222,512.0,52.9,16.4
47068,47,37,88,207.0,58.0,14.0
47069,145,96,263,869.0,55.0,14.4
47070,138,81,231,782.0,54.0,12.8
47071,122,134,281,696.0,47.3,21.7
47072,101,73,180,510.0,48.0,16.9
48001,31,8,43,210.0,52.9,9.0
48002,35,47,87,266.0,44.0,22.6
48003,91,175,285,962.0,55.4,21.9
48004,149,120,294,858.0,58.0,20.6
48005,132,166,329,894.0,62.0,18.0
48006,60,150,223,807.0,57.2,20.2
48007,89,156,264,810.0,51.0,25.6
48008,24,25,53,138.0,58.7,20.3
48009,126,198,344,1054.0,56.3,23.4
48010,100,165,301,927.0,58.5,19.1
48011,117,143,301,717.0,66.0,15.5
48012,95,120,272,758.0,69.3,16.5
48013,110,158,309,776.0,62.6,18.4
48014,110,178,314,1031.0,57.9,19.7
48015,119,145,320,838.0,66.9,14.3
48016,86,177,281,982.0,52.0,25.7
48017,74,141,242,746.0,59.1,22.3
48018,149,196,416,1047.0,63.2,19.9
48019,158,172,378,1014.0,66.0,15.7
48020,57,121,209,612.0,70.9,14.9
48021,115,167,321,1044.0,59.3,19.4
48022,113,200,344,976.0,56.8,24.3
48023,117,226,363,1053.0,58.7,24.0
48024,92,213,347,1039.0,60.1,22.3
48025,97,215,336,928.0,65.4,19.2
48026,108,228,377,971.0,59.6,20.8
48027,86,208,316,879.0,60.9,23.2
48028,95,240,353,933.0,54.8,28.1
48029,99,233,358,957.0,58.8,25.4
48030,94,244,363,905.0,61.2,20.3
48031,76,92,186,430.0,62.1,17.4
48032,100,222,337,843.0,56.7,24.1
48033,62,122,191,600.0,51.2,23.2
48034,84,60,151,498.0,51.2,23.7
48035,34,13,53,144.0,47.9,10.4
48036,151,90,254,822.0,54.5,14.8
48037,97,59,166,465.0,55.1,16.3
48038,76,73,155,471.0,48.6,22.3
48039,46,95,149,361.0,58.2,25.5
48040,118,186,329,847.0,53.4,23.6
48041,48,68,120,287.0,46.7,29.3
48042,105,122,240,583.0,54.0,23.3
48043,172,120,313,915.0,51.6,16.7
48044,185,58,264,957.0,51.6,13.4
48045,83,80,168,496.0,52.8,22.0
48046,90,157,266,489.0,54.8,20.4
48047,141,188,348,971.0,50.2,22.0
48048,76,190,286,903.0,56.1,19.2
48049,51,32,83,157.0,65.0,12.1
48050,50,173,237,688.0,55.4,25.6
48051,82,149,239,700.0,53.9,26.6
48052,117,162,286,835.0,53.2,22.4
48054,129,166,317,774.0,58.0,16.5
48055,140,204,367,982.0,54.8,19.9
48056,177,158,358,951.0,58.1,19.3
48057,99,32,138,469.0,59.9,13.4
48058,107,121,252,720.0,61.4,14.4
48059,100,234,353,923.0,61.3,20.5
48060,131,278,447,1105.0,54.2,25.6
48061,139,164,329,1024.0,59.7,15.3
48062,258,119,406,1014.0,62.1,12.0
48063,225,120,362,1008.0,62.7,13.2
48064,64,101,174,459.0,59.3,22.4
48065,161,110,296,940.0,57.8,14.7
48066,95,196,303,851.0,53.2,26.4
48067,37,57,103,283.0,47.3,21.2
48068,38,24,63,129.0,54.3,15.5
48069,17,20,41,144.0,52.8,10.4
48070,171,213,398,941.0,51.6,22.8
48071,76,137,238,799.0,64.2,18.8
48072,123,137,299,817.0,64.3,18.1
49001,185,34,230,943.0,53.4,8.0
49002,69,18,98,671.0,52.8,4.3
49003,76,27,115,732.0,50.8,6.1
49004,166,57,239,901.0,53.1,8.5
49005,119,50,184,1029.0,46.0,6.7
49006,54,33,98,292.0,56.5,12.3
49007,40,19,66,259.0,50.6,8.5
49008,144,53,207,661.0,51.3,7.7
49009,123,47,183,1046.0,45.5,8.0
49010,132,42,187,850.0,49.4,7.5
49011,55,22,88,410.0,52.0,6.6
49012,51,17,69,277.0,56.0,10.8
49013,58,17,83,305.0,54.4,10.8
49014,1,1,3,7.0,71.4,14.3
49016,215,73,304,1030.0,49.2,13.4
49017,129,104,246,782.0,51.9,12.9
49018,44,29,78,203.0,45.3,14.3
49019,205,83,309,920.0,52.7,13.3
49020,136,59,208,623.0,53.3,12.7
49021,221,77,313,1073.0,53.9,15.2
49022,215,135,373,1010.0,49.3,16.8
49023,186,96,296,904.0,54.2,15.7
49024,160,84,259,830.0,56.3,13.9
49025,199,115,334,912.0,49.6,16.8
49026,156,100,272,963.0,48.0,13.4
49027,134,67,212,516.0,51.2,20.3
49028,145,130,295,841.0,47.0,21.6
49029,36,25,66,156.0,50.0,14.1
49030,89,47,144,548.0,46.2,15.5
49031,70,65,145,680.0,51.3,11.8
49032,57,20,86,260.0,56.9,7.3
49033,26,45,72,159.0,47.8,26.4
49034,73,41,121,337.0,51.0,11.6
49035,175,122,316,879.0,53.1,15.6
49036,79,37,128,332.0,49.7,16.9
49037,227,128,365,1048.0,51.9,13.1
49038,168,97,284,952.0,48.1,15.3
49039,210,79,303,800.0,54.2,15.5
49040,186,82,287,889.0,53.7,13.0
49041,175,96,286,1015.0,53.0,13.8
49042,140,37,183,559.0,61.2,8.6
49043,118,90,216,608.0,45.1,20.7
49044,76,45,123,384.0,41.7,24.5
