ed,cuomo,molinaro,votes18,voters18,pct_dem_rvs18,pct_rep_rvs18
25053,324,75,419,1058.0,67.3,7.7
25054,291,37,344,837.0,70.7,5.5
25055,215,56,277,910.0,63.4,8.1
25056,146,69,224,850.0,57.2,8.1
25057,195,86,293,892.0,52.6,16.0
25058,251,149,423,1061.0,51.5,17.3
25059,293,138,452,1084.0,55.4,12.5
25060,121,85,223,703.0,48.5,15.8
25061,275,150,440,1072.0,55.4,14.1
25062,244,53,316,999.0,55.7,10.1
25063,176,59,249,848.0,53.5,12.3
25064,192,92,296,852.0,52.9,17.6
25065,245,93,354,840.0,58.6,11.1
25066,21,14,38,135.0,55.6,14.8
25068,162,55,229,814.0,53.9,10.2
25069,73,81,168,593.0,43.3,20.9
25070,131,15,160,420.0,61.7,8.8
25071,280,81,380,780.0,66.0,10.0
25072,189,71,273,813.0,59.5,12.3
25073,187,129,336,724.0,50.1,21.3
25074,144,45,195,801.0,54.8,11.6
25075,204,100,320,678.0,52.8,17.8
25076,104,111,230,544.0,53.1,19.1
25077,112,82,200,415.0,50.6,18.8
25078,115,96,226,526.0,44.1,20.5
25079,119,61,199,505.0,54.7,11.5
26001,92,120,214,495.0,41.6,26.3
26002,49,25,79,220.0,55.9,18.2
26003,260,173,461,1043.0,51.8,19.4
26004,241,160,413,1022.0,49.4,21.1
26005,147,133,296,765.0,46.7,24.1
26006,262,180,459,1044.0,48.7,20.3
26007,150,135,296,831.0,48.7,23.8
26008,313,213,553,1080.0,51.2,21.3
26009,309,212,549,1027.0,52.6,19.2
26010,308,179,508,1058.0,53.8,19.7
26011,213,244,482,996.0,44.1,27.5
26012,245,206,462,935.0,45.6,27.8
26013,214,207,449,1052.0,48.2,22.1
26014,218,238,485,1057.0,44.3,30.7
26015,348,123,592,998.0,52.9,25.1
26016,327,188,550,1059.0,56.7,20.7
26017,251,220,494,1013.0,47.2,27.9
26018,183,297,504,1051.0,37.6,37.2
26019,209,88,306,620.0,53.5,20.3
26020,399,180,606,1001.0,59.6,18.5
26021,295,113,429,847.0,56.4,17.5
26022,335,134,490,988.0,60.0,17.1
26023,372,152,537,973.0,63.5,15.4
26024,352,98,468,798.0,67.5,12.8
26025,305,108,428,775.0,57.5,18.1
26026,440,101,569,1004.0,63.9,14.2
26027,294,130,451,909.0,56.2,18.5
26028,320,244,590,1072.0,46.3,24.3
26029,307,267,597,1060.0,44.6,24.6
26030,349,230,611,1059.0,46.1,27.2
26031,313,263,600,1050.0,41.3,31.8
26032,301,166,489,987.0,53.4,16.8
26033,346,171,545,1008.0,51.7,17.4
26034,282,208,520,1052.0,46.8,20.2
26035,245,205,478,1023.0,46.8,24.7
26036,111,58,182,528.0,57.4,13.1
26037,214,138,374,811.0,53.8,20.5
26038,27,26,53,104.0,46.2,22.1
26039,191,70,279,719.0,56.1,12.2
26040,155,108,272,743.0,52.1,14.1
26041,25,11,40,133.0,54.9,14.3
26042,187,114,321,682.0,49.9,18.2
26043,110,86,206,559.0,49.6,19.3
26044,130,68,205,595.0,51.6,11.8
26045,323,124,476,914.0,55.6,14.8
26046,366,136,531,1009.0,56.7,17.0
26047,346,141,500,908.0,59.3,16.4
26048,306,173,500,1034.0,52.7,17.4
26049,262,129,420,925.0,55.5,15.0
26050,282,134,434,937.0,54.7,17.6
26051,181,98,298,758.0,50.4,16.5
26052,240,103,365,868.0,52.3,15.1
26053,310,110,451,1051.0,56.8,13.9
26054,279,152,442,976.0,52.4,17.6
26055,243,133,401,1012.0,53.2,18.5
26056,291,141,445,899.0,54.5,17.0
26057,264,149,439,927.0,52.4,20.1
26058,279,135,435,919.0,56.5,15.5
26059,236,188,455,936.0,43.7,25.1
26060,248,200,477,897.0,46.5,23.7
26061,265,205,495,1090.0,49.6,20.2
26062,265,159,452,1114.0,51.5,16.0
26063,308,190,527,1067.0,50.4,19.8
26064,279,185,490,944.0,46.2,24.8
26065,197,107,320,614.0,50.7,21.8
26066,303,196,528,1041.0,48.6,24.1
26067,279,200,515,1103.0,48.1,21.6
26068,255,222,509,930.0,41.8,28.5
26069,208,115,357,729.0,49.5,18.4
26070,295,138,456,969.0,54.4,18.2
26071,363,73,452,608.0,70.9,11.5
26072,329,146,493,946.0,57.7,17.0
26073,372,62,448,590.0,67.5,11.7
26074,255,83,360,842.0,62.7,10.9
26075,331,129,476,1028.0,59.0,15.3
26076,266,132,415,886.0,54.5,18.5
26079,192,126,328,804.0,49.6,20.6
26080,184,120,322,846.0,51.1,18.7
26081,236,190,453,885.0,46.6,25.3
26082,171,105,292,587.0,49.6,23.0
26083,256,161,450,918.0,50.0,20.7
26084,393,67,473,622.0,62.5,14.8
26085,154,74,247,580.0,51.9,19.0
27001,135,238,405,1096.0,49.8,24.2
27002,235,16,264,698.0,72.1,8.6
27003,283,60,372,943.0,55.7,14.5
27004,250,67,333,660.0,54.7,15.2
27005,299,107,427,1027.0,56.5,12.8
27006,496,105,649,1082.0,65.7,9.9
27007,473,70,594,1073.0,62.9,11.3
27008,405,73,507,1000.0,63.8,11.9
27009,309,45,369,1039.0,65.4,7.3
27010,13,0,13,70.0,64.3,10.0
27011,295,23,341,807.0,68.9,7.9
27012,286,61,370,1005.0,63.9,10.0
27013,424,69,529,1062.0,68.9,9.5
27014,496,88,610,1124.0,67.3,9.0
27015,359,28,412,950.0,67.1,9.1
27016,260,49,332,926.0,58.6,12.6
27017,138,40,187,496.0,61.5,10.7
27018,25,6,35,96.0,56.2,19.8
27019,364,84,478,844.0,60.9,13.3
27020,418,79,529,1021.0,56.7,14.3
27021,425,100,562,890.0,59.0,12.2
27022,251,117,396,834.0,55.2,18.1
27023,201,295,512,1087.0,40.7,33.6
27024,166,174,360,915.0,54.0,19.3
27025,120,233,387,1028.0,53.7,25.2
27026,115,189,336,1011.0,47.1,28.8
27027,66,115,187,560.0,52.5,18.8
27028,239,94,360,992.0,60.3,17.0
27029,214,51,276,876.0,64.5,10.3
27030,127,151,299,976.0,56.4,20.1
27031,42,2,50,142.0,76.8,3.5
27032,38,7,49,140.0,58.6,6.4
27033,46,8,55,140.0,55.0,12.9
27034,258,90,360,912.0,64.6,13.7
27035,350,33,400,1066.0,77.7,4.6
27036,222,79,323,875.0,58.6,12.6
27037,479,60,554,1071.0,72.9,7.0
27038,366,57,426,849.0,76.2,6.9
27039,360,32,404,860.0,78.8,3.7
27040,355,33,405,908.0,75.0,5.5
27041,230,16,252,656.0,75.8,6.9
27042,283,96,401,1005.0,57.4,11.2
27043,136,93,241,546.0,55.3,13.0
27044,292,78,379,904.0,60.4,12.5
27045,343,86,453,1013.0,64.9,10.8
27046,75,40,129,385.0,40.0,26.0
27047,241,36,299,873.0,59.9,8.9
27048,171,81,264,878.0,52.2,18.9
27049,207,108,330,798.0,56.0,15.7
27050,192,91,295,850.0,56.0,17.1
27051,170,329,528,1087.0,38.5,35.4
27052,293,113,423,998.0,54.6,13.3
27053,183,72,278,1107.0,58.5,14.9
27054,237,61,318,1132.0,56.8,15.7
27055,232,70,319,598.0,62.4,13.2
27056,250,39,297,644.0,78.3,8.7
27057,91,150,253,572.0,36.2,40.6
27058,0,0,0,1.0,100.0,0.0
27059,205,152,375,935.0,51.7,20.2
27060,184,78,280,819.0,55.7,14.9
27061,235,92,344,994.0,54.9,12.3
27062,254,72,347,1014.0,55.2,13.0
27063,221,100,340,947.0,53.9,13.8
27064,272,74,366,1026.0,59.4,11.4
27065,193,97,311,896.0,53.1,16.6
27066,259,125,411,1024.0,51.8,14.8
27067,243,102,356,976.0,56.9,16.4
27068,247,141,412,1035.0,54.9,15.0
27079,194,52,263,820.0,55.0,10.4
27080,219,53,282,779.0,63.7,12.3
27081,259,134,406,1061.0,49.9,17.2
27082,173,29,211,703.0,64.6,8.8
27083,297,114,434,1031.0,59.5,14.1
27084,375,49,444,876.0,78.5,5.1
27085,267,13,294,823.0,78.1,4.9
27086,180,94,298,898.0,53.5,18.5
27087,205,131,351,940.0,52.9,16.7
27088,165,29,225,540.0,63.0,10.2
27089,91,131,235,576.0,46.2,23.6
28001,258,34,303,755.0,68.6,8.5
28002,151,34,192,500.0,65.4,12.4
28003,366,109,492,997.0,60.1,13.8
28004,159,46,217,503.0,61.4,11.5
28005,144,25,177,451.0,63.9,10.4
28006,282,129,448,979.0,51.3,16.4
28007,127,46,182,454.0,61.2,14.3
28008,33,62,100,245.0,52.2,26.5
28009,199,81,299,720.0,58.5,14.0
28010,281,107,410,948.0,57.4,17.1
28011,278,75,371,846.0,57.4,13.9
28012,273,69,374,630.0,63.2,12.2
28013,8,9,18,36.0,55.6,25.0
28014,293,85,413,1035.0,56.7,12.8
28015,253,191,477,1047.0,50.2,23.2
28016,219,284,519,1055.0,39.2,32.7
28017,256,222,496,1009.0,45.6,27.2
28018,282,118,423,816.0,50.4,20.5
28019,331,116,486,960.0,50.8,19.4
28020,385,77,500,903.0,59.5,11.2
28021,281,119,434,806.0,47.9,23.9
28022,459,143,656,1083.0,58.8,16.3
28023,470,67,581,1011.0,63.9,10.7
28024,316,70,419,763.0,57.5,13.1
28025,431,95,575,1124.0,61.2,12.2
28026,229,34,285,548.0,60.9,10.0
28027,215,56,291,569.0,57.5,15.1
28028,413,130,572,973.0,58.1,13.4
28029,432,91,544,867.0,60.6,12.7
28030,360,80,476,787.0,59.1,11.7
28031,518,100,660,1091.0,61.6,11.9
28032,227,80,329,567.0,57.0,14.3
28033,6,6,12,27.0,51.9,18.5
28034,52,13,66,119.0,59.7,15.1
28035,429,108,562,1064.0,57.5,14.6
28036,505,96,652,1106.0,60.6,11.7
28037,333,105,469,908.0,60.0,11.5
28038,353,78,459,916.0,55.1,14.6
28039,252,55,321,580.0,64.3,13.3
28040,361,89,478,959.0,61.8,13.8
28041,277,98,398,884.0,55.5,15.4
28042,434,75,538,1125.0,63.4,10.4
28043,317,105,455,927.0,57.5,13.6
28044,168,67,255,620.0,54.5,12.6
28045,301,116,433,792.0,52.9,18.1
28046,271,68,367,801.0,55.2,13.6
28047,466,134,650,1067.0,58.9,15.1
28048,414,116,568,962.0,61.1,13.6
28049,255,71,352,797.0,57.1,12.9
28050,325,86,442,1138.0,61.6,12.5
28051,302,96,437,1106.0,57.0,13.0
28052,68,59,140,711.0,62.3,17.3
28053,214,109,337,847.0,55.3,18.7
28054,208,71,293,806.0,57.6,12.7
28055,120,56,186,552.0,55.1,15.4
28056,376,99,512,1059.0,57.7,11.0
28057,216,62,300,756.0,56.0,13.4
28058,215,55,297,716.0,59.5,11.6
28059,36,7,43,135.0,57.0,9.6
28060,199,52,265,596.0,54.9,11.7
28061,272,130,425,960.0,50.5,18.2
28062,200,89,306,744.0,52.8,15.9
28063,251,106,383,940.0,55.6,16.2
28064,188,123,334,791.0,45.6,17.4
28065,286,149,469,1003.0,52.2,16.4
