NTA2020,NTAName,votes18,voters18,turnout18
SI0104,West New Brighton-Silver Lake-Grymes Hill,11169,20926.0,53.373793367103126
SI0105,Westerleigh-Castleton Corners,11033,19987.0,55.20088057237204
SI0106,Port Richmond,5490,11703.0,46.91104844911561
SI0107,Mariner's Harbor-Arlington-Graniteville,8375,18293.0,45.78253976931067
SI0191,Snug Harbor,497,886.0,56.09480812641083
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,8392,18906.0,44.38802496561938
SI0202,New Dorp-Midland Beach,7648,15947.0,47.95886373612592
SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,9992,20391.0,49.00201069099112
SI0204,New Springville-Willowbrook-Bulls Head-Travis,9635,21037.0,45.80025669059277
SI0291,Freshkills Park (North),1463,2976.0,49.159946236559136
SI0301,Oakwood-Richmondtown,7491,14988.0,49.979983987189755
SI0302,Great Kills-Eltingville,17183,34420.0,49.92155723416618
SI0303,Arden Heights-Rossville,7843,17287.0,45.36935269277492
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,12599,26711.0,47.16783347684475
SI0305,Tottenville-Charleston,5084,10286.0,49.42640482208828
SI0391,Freshkills Park (South),903,2141.0,42.17655301261093
SI9561,Fort Wadsworth,371,766.0,48.43342036553525
SI9592,Miller Field,457,1031.0,44.325897187196894
SI9593,Great Kills Park,405,750.0,54.0
