NTA2020,NTAName,votes22,voters22,votes18,voters18
BX1091,Ferry Point Park-St. Raymond Cemetery,13601,3750.0,1263,2765.0
BX1101,Pelham Parkway-Van Nest,80733,15398.0,5740,14329.0
BX1102,Morris Park,67800,10901.0,4535,10369.0
BX1103,Pelham Gardens,109678,15032.0,6767,14871.0
BX1104,Allerton,63804,15017.0,6366,14984.0
BX1161,Hutchinson Metro Center,8137,103.0,55,143.0
BX1201,Williamsbridge-Olinville,139018,29683.0,11856,26629.0
BX1202,Eastchester-Edenwald-Baychester,151233,27109.0,12566,26004.0
BX1203,Wakefield-Woodlawn,110410,24562.0,11249,23782.0
BX1271,Woodlawn Cemetery,3433,1539.0,226,444.0
BX2691,Van Cortlandt Park,15288,561.0,947,1924.0
BX2791,Bronx Park,94560,2995.0,1123,2795.0
BX2891,Pelham Bay Park,31147,993.0,559,1058.0
MN0101,Financial District-Battery Park City,120134,25045.0,14185,26064.0
MN0102,Tribeca-Civic Center,62619,14183.0,7693,13398.0
MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,9766,4.0,0,3.0
MN0201,SoHo-Little Italy-Hudson Square,75689,13002.0,7408,13305.0
MN0202,Greenwich Village,98620,19324.0,13658,21047.0
MN0203,West Village,97256,20758.0,13787,21740.0
MN0301,Chinatown-Two Bridges,109735,22817.0,7737,21187.0
MN0302,Lower East Side,117914,29580.0,14609,30713.0
MN0303,East Village,164466,42921.0,21961,42024.0
MN0401,Chelsea-Hudson Yards,137923,39437.0,23458,40151.0
MN0402,Hell's Kitchen,128171,32127.0,17304,29815.0
MN0501,Midtown South-Flatiron-Union Square,94978,17869.0,8979,16156.0
MN0502,Midtown-Times Square,83302,14092.0,7193,14683.0
MN0601,Stuyvesant Town-Peter Cooper Village,53104,13045.0,9225,14015.0
MN0602,Gramercy,65012,15640.0,10371,17098.0
MN0603,Murray Hill-Kips Bay,144792,26321.0,16917,29292.0
MN0604,East Midtown-Turtle Bay,108905,26652.0,14808,25402.0
MN0661,United Nations,28155,1437.0,449,719.0
MN0701,Upper West Side-Lincoln Square,152777,42005.0,26029,41227.0
MN0702,Upper West Side (Central),306013,69086.0,44054,68554.0
MN0703,Upper West Side-Manhattan Valley,135418,33508.0,21298,36254.0
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,186210,44928.0,28346,47552.0
MN0802,Upper East Side-Carnegie Hill,168083,41331.0,24193,41713.0
MN0803,Upper East Side-Yorkville,199651,51217.0,31087,50009.0
MN0901,Morningside Heights,92566,18421.0,10069,17965.0
MN0902,Manhattanville-West Harlem,63272,13295.0,6446,14669.0
MN0903,Hamilton Heights-Sugar Hill,146813,32166.0,15483,30938.0
MN1001,Harlem (South),123491,32456.0,16286,30510.0
MN1002,Harlem (North),181321,47063.0,24327,48593.0
MN1101,East Harlem (South),167238,35957.0,16759,36430.0
MN1102,East Harlem (North),168827,38469.0,16878,37531.0
MN1191,Randall's Island,3291,409.0,41,268.0
MN1201,Washington Heights (South),186003,46209.0,19233,44282.0
MN1202,Washington Heights (North),180694,44612.0,22991,45967.0
MN1203,Inwood,72604,21149.0,11194,23091.0
MN1291,Highbridge Park,18643,2005.0,1780,4558.0
MN1292,Inwood Hill Park,13240,1620.0,552,973.0
MN6491,Central Park,26563,1.0,0,3.0
QN0101,Astoria (North)-Ditmars-Steinway,155233,28705.0,13616,28112.0
QN0102,Old Astoria-Hallets Point,47240,10545.0,3889,8729.0
QN0103,Astoria (Central),130802,27910.0,14085,26796.0
QN0104,Astoria (East)-Woodside (North),130666,21044.0,9227,19707.0
QN0105,Queensbridge-Ravenswood-Dutch Kills,92398,18088.0,7629,16793.0
QN0161,Sunnyside Yards (North),7448,7.0,341,717.0
QN0171,St. Michael's Cemetery,2098,1.0,109,291.0
QN0201,Long Island City-Hunters Point,77751,14372.0,7468,12635.0
QN0202,Sunnyside,105571,24331.0,14261,27307.0
QN0203,Woodside,132294,25617.0,9150,21727.0
QN0261,Sunnyside Yards (South),9284,648.0,380,617.0
QN0271,Calvary & Mount Zion Cemeteries,15337,1808.0,694,1570.0
QN0301,Jackson Heights,219817,49840.0,21196,46162.0
QN0302,East Elmhurst,64360,14210.0,5248,12905.0
QN0303,North Corona,50462,10777.0,4179,11719.0
QN0401,Elmhurst,220063,43740.0,14285,40399.0
QN0402,Corona,104537,26223.0,9154,25049.0
QN0501,Maspeth,131814,21952.0,7213,17830.0
QN0502,Ridgewood,123014,32190.0,12285,30639.0
QN0503,Glendale,70395,17858.0,5615,13009.0
QN0504,Middle Village,74141,13486.0,7126,15654.0
QN0571,Mount Olivet & All Faiths Cemeteries,4729,1628.0,438,1032.0
QN0572,Middle Village Cemetery,8605,276.0,387,1023.0
QN0573,St. John Cemetery,3075,2979.0,779,1816.0
QN0574,Highland Park-Cypress Hills Cemeteries (North),13496,12.0,796,2004.0
QN0601,Rego Park,106868,15579.0,6025,14792.0
QN0602,Forest Hills,226959,51301.0,24224,49785.0
QN0701,College Point,53377,13479.0,4766,12734.0
QN0702,Whitestone-Beechhurst,88271,16268.0,7175,15740.0
QN0703,Bay Terrace-Clearview,52306,13043.0,6479,12590.0
QN0704,Murray Hill-Broadway Flushing,145735,24526.0,9769,24447.0
QN0705,East Flushing,56836,18307.0,5184,14875.0
QN0706,Queensboro Hill,35409,7825.0,2731,9450.0
QN0707,Flushing-Willets Point,179796,23132.0,7647,23762.0
QN0761,Fort Totten,2497,1232.0,606,1001.0
QN0791,Kissena Park,11538,1548.0,143,369.0
QN0801,Kew Gardens Hills,64276,18420.0,6159,16264.0
QN0802,Pomonok-Electchester-Hillcrest,94034,19524.0,7057,17534.0
QN0803,Fresh Meadows-Utopia,56680,11033.0,4353,9933.0
QN0804,Jamaica Estates-Holliswood,53468,13404.0,6355,13245.0
QN0805,Jamaica Hills-Briarwood,143437,20017.0,7608,19196.0
QN0891,Cunningham Park,20879,1252.0,1150,2457.0
QN0901,Kew Gardens,69042,13389.0,6071,12873.0
QN0902,Richmond Hill,91259,16505.0,5396,15260.0
QN0903,South Richmond Hill,82388,12051.0,3125,10453.0
QN0904,Ozone Park (North),43116,11790.0,3988,12060.0
QN0905,Woodhaven,78126,18142.0,7461,19330.0
QN1001,South Ozone Park,199056,39796.0,12407,38122.0
QN1002,Ozone Park,64880,12337.0,4269,11230.0
QN1003,Howard Beach-Lindenwood,71070,14896.0,7124,14759.0
QN1091,Spring Creek Park,2645,1663.0,362,704.0
QN1101,Auburndale,63215,18550.0,7612,17662.0
QN1102,Bayside,103074,20379.0,8508,18996.0
QN1103,Douglaston-Little Neck,56789,15844.0,7113,14136.0
QN1104,Oakland Gardens-Hollis Hills,54191,12126.0,6007,12533.0
QN1191,Alley Pond Park,15300,1430.0,834,1685.0
QN1201,Jamaica,169144,27351.0,10536,27777.0
QN1202,South Jamaica,84425,23645.0,8003,20089.0
QN1203,Baisley Park,126735,24464.0,9870,22869.0
QN1204,Springfield Gardens (North)-Rochdale Village,114940,20812.0,10822,20255.0
QN1205,St. Albans,133518,34932.0,16494,33099.0
QN1206,Hollis,58209,11358.0,4933,11831.0
QN1301,Glen Oaks-Floral Park-New Hyde Park,62524,14426.0,7387,15181.0
QN1302,Bellerose,104642,17010.0,6781,15455.0
QN1303,Queens Village,187294,33027.0,14244,32468.0
QN1304,Cambria Heights,67505,15000.0,7301,13646.0
QN1305,Laurelton,61317,18244.0,8536,16441.0
QN1306,Springfield Gardens (South)-Brookville,66735,11719.0,5588,11239.0
QN1307,Rosedale,67065,16436.0,8078,15948.0
QN1371,Montefiore Cemetery,1984,0.0,565,1001.0
QN1401,Far Rockaway-Bayswater,112654,27340.0,9654,24869.0
QN1402,Rockaway Beach-Arverne-Edgemere,95097,19319.0,8799,19192.0
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,58083,14479.0,6987,12365.0
QN1491,Rockaway Community Park,6340,1035.0,401,943.0
QN8081,LaGuardia Airport,45007,0.0,447,1081.0
QN8191,Flushing Meadows-Corona Park,185222,3165.0,1047,2498.0
QN8291,Forest Park,28839,1616.0,831,1847.0
QN8381,John F. Kennedy International Airport,45347,41.0,403,1049.0
QN8491,Jamaica Bay (East),73673,0.0,0,1.0
QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,10980,2158.0,1452,2296.0
SI0101,St. George-New Brighton,32211,9519.0,5129,9803.0
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,27752,10119.0,3906,8872.0
SI0103,Rosebank-Shore Acres-Park Hill,62324,13918.0,5761,12653.0
SI0104,West New Brighton-Silver Lake-Grymes Hill,83301,20694.0,11169,20926.0
SI0105,Westerleigh-Castleton Corners,89703,21144.0,11033,19987.0
SI0106,Port Richmond,58641,12734.0,5490,11703.0
SI0107,Mariner's Harbor-Arlington-Graniteville,70937,19458.0,8375,18293.0
SI0191,Snug Harbor,2991,1049.0,497,886.0
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,95397,20083.0,8392,18906.0
SI0202,New Dorp-Midland Beach,64647,17664.0,7648,15947.0
SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,104947,21418.0,9992,20391.0
SI0204,New Springville-Willowbrook-Bulls Head-Travis,102645,24482.0,9635,21037.0
SI0291,Freshkills Park (North),22123,1405.0,1463,2976.0
SI0301,Oakwood-Richmondtown,33684,12155.0,7491,14988.0
SI0302,Great Kills-Eltingville,111606,36937.0,17183,34420.0
SI0303,Arden Heights-Rossville,43252,17555.0,7843,17287.0
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,108091,29344.0,12599,26711.0
SI0305,Tottenville-Charleston,35178,11582.0,5084,10286.0
SI0391,Freshkills Park (South),11839,3251.0,903,2141.0
SI9561,Fort Wadsworth,12717,2046.0,371,766.0
SI9592,Miller Field,6470,1754.0,457,1031.0
SI9593,Great Kills Park,5127,1602.0,405,750.0
